case,method,resolution,x1,raw_value,plotted_value,analytic_value
hydro_viscosity,sts,256,-0.44921875,1.315027516657509e-07,1.315027516657509e-07,1.314982423936757e-07
hydro_viscosity,sts,256,-0.41015625,1.3174821960286553e-07,1.3174821960286553e-07,1.3174371058787575e-07
hydro_viscosity,sts,256,-0.37109375,1.3197176997374224e-07,1.3197176997374224e-07,1.3196726109490332e-07
hydro_viscosity,sts,256,-0.33203125,1.3217328969928517e-07,1.3217328969928517e-07,1.321687808632055e-07
hydro_viscosity,sts,256,-0.29296875,1.3235267673409464e-07,1.3235267673409464e-07,1.3234816787233632e-07
hydro_viscosity,sts,256,-0.25390625,1.3250984015259358e-07,1.3250984015259358e-07,1.325053312190323e-07
hydro_viscosity,sts,256,-0.21484375,1.32644700225843e-07,1.32644700225843e-07,1.3264019119398172e-07
hydro_viscosity,sts,256,-0.17578125,1.3275718848895779e-07,1.3275718848895779e-07,1.3275267934919852e-07
hydro_viscosity,sts,256,-0.13671875,1.3284724779903908e-07,1.3284724779903908e-07,1.328427385559198e-07
hydro_viscosity,sts,256,-0.09765625,1.3291483238355592e-07,1.3291483238355592e-07,1.3291032305295951e-07
hydro_viscosity,sts,256,-0.05859375,1.3295990787912176e-07,1.3295990787912176e-07,1.329553984854599e-07
hydro_viscosity,sts,256,-0.01953125,1.3298245136061566e-07,1.3298245136061566e-07,1.3297794193399558e-07
hydro_viscosity,sts,256,0.01953125,1.3298245136061558e-07,1.3298245136061558e-07,1.3297794193399558e-07
hydro_viscosity,sts,256,0.05859375,1.329599078791218e-07,1.329599078791218e-07,1.329553984854599e-07
hydro_viscosity,sts,256,0.09765625,1.3291483238355586e-07,1.3291483238355586e-07,1.3291032305295951e-07
hydro_viscosity,sts,256,0.13671875,1.3284724779903902e-07,1.3284724779903902e-07,1.328427385559198e-07
hydro_viscosity,sts,256,0.17578125,1.327571884889576e-07,1.327571884889576e-07,1.3275267934919852e-07
hydro_viscosity,sts,256,0.21484375,1.3264470022584302e-07,1.3264470022584302e-07,1.3264019119398172e-07
hydro_viscosity,sts,256,0.25390625,1.3250984015259366e-07,1.3250984015259366e-07,1.325053312190323e-07
hydro_viscosity,sts,256,0.29296875,1.3235267673409475e-07,1.3235267673409475e-07,1.3234816787233632e-07
hydro_viscosity,sts,256,0.33203125,1.3217328969928533e-07,1.3217328969928533e-07,1.321687808632055e-07
hydro_viscosity,sts,256,0.37109375,1.3197176997374216e-07,1.3197176997374216e-07,1.3196726109490332e-07
hydro_viscosity,sts,256,0.41015625,1.317482196028656e-07,1.317482196028656e-07,1.3174371058787575e-07
hydro_viscosity,sts,256,0.44921875,1.3150275166575107e-07,1.3150275166575107e-07,1.314982423936757e-07
hydro_viscosity,sts,256,0.48828125,1.3123549017985382e-07,1.3123549017985382e-07,1.3123098049968453e-07
hydro_viscosity,sts,256,0.52734375,1.3094656999655505e-07,1.3094656999655505e-07,1.309420597247419e-07
hydro_viscosity,sts,256,0.56640625,1.3063613668775607e-07,1.3063613668775607e-07,1.306316256058075e-07
hydro_viscosity,sts,256,0.60546875,1.3030434642363147e-07,1.3030434642363147e-07,1.3029983427578776e-07
hydro_viscosity,sts,256,0.64453125,1.299513658416849e-07,1.299513658416849e-07,1.2994685233267114e-07
hydro_viscosity,sts,256,0.68359375,1.2957737190726503e-07,1.2957737190726503e-07,1.2957285670012601e-07
hydro_viscosity,sts,256,0.72265625,1.2918255176569906e-07,1.2918255176569906e-07,1.291780344797236e-07
hydro_viscosity,sts,256,0.76171875,1.28767102586221e-07,1.28767102586221e-07,1.2876258279495942e-07
